火	水	風	土	光	闇	MAP名
0	0	0	0	0	0	古都ブルンネンシュティグ
0	0	0	0	0	0	中央プラトン街道 / グレートフォレスト入口付近
0	0	0	0	0	0	狼の巣窟
0	0	0	0	0	0	旧レッドアイ研究所　Ｂ１
0	0	0	0	0	0	旧レッドアイ研究所　Ｂ２
0	0	0	0	0	0	旧レッドアイ研究所　Ｂ３
0	0	0	0	0	0	バヘル大河 / 北、東バヘル大河の交差地点
0	0	0	0	0	0	蟲の洞穴
0	0	0	0	0	0	オーガの巣窟　Ｂ１
0	0	0	0	0	0	オーガの巣窟　Ｂ２
0	0	0	0	0	0	中央プラトン街道 / ブルンネンシュティグ入口付近
0	0	0	0	0	0	コボルトの洞窟　Ｂ１
0	0	0	0	0	0	コボルトの洞窟　Ｂ２
0	0	0	0	0	0	地下墓地　Ｂ１
0	0	0	0	0	0	地下墓地　Ｂ２
0	0	0	0	0	0	地下墓地　Ｂ３
0	0	0	0	0	0	東プラトン街道 / イースタンブリッジ付近
0	0	0	0	0	0	枯れ井戸
0	0	0	0	0	0	オート地下監獄　Ｂ１
0	0	0	0	0	0	オート地下監獄　Ｂ２
0	0	0	0	0	0	オート地下監獄　Ｂ３
0	0	0	0	0	0	アルパス地下監獄　Ｂ１
0	0	0	0	0	0	アルパス地下監獄　Ｂ２
0	0	0	0	0	0	アルパス地下監獄　Ｂ３
0	0	0	0	0	0	ギルディル川 / ナス橋付近
0	0	0	0	0	0	ギルディル川　沼地洞窟　Ｂ１
0	0	0	0	0	0	ギルディル川　沼地洞窟　Ｂ２
0	0	0	0	0	0	牢屋
0	0	0	0	0	0	ラウンジ
0	0	0	0	0	0	東プラトン街道 / 道の中間地点
0	0	0	0	0	0	東プラトン街道 / エルベルグ山脈 峠
0	0	0	0	0	0	エルベルグ山脈 / ハノブ西部地域
0	0	0	0	0	0	路上強盗団アジト　１Ｆ
0	0	0	0	0	0	路上強盗団アジト　Ｂ１
0	0	0	0	0	0	路上強盗団アジト　Ｂ２
0	0	0	0	0	0	路上強盗団アジト　Ｂ３
0	0	0	0	0	0	鉱山町ハノブ
0	0	0	0	0	0	廃坑　Ｂ１
0	0	0	0	0	0	廃坑　Ｂ２
0	0	0	0	0	0	廃坑　Ｂ３
