火	水	風	土	光	闇	MAP名
0	0	0	0	0	0	テレット・トンネルの隠された洞窟
0	0	0	0	0	0	シーフギルド倉庫の隠された部屋
0	0	0	0	0	0	果てしない砂漠
0	0	0	0	0	0	ティアメスの聖地
0	0	0	0	0	0	地下墓地の隠された迷路
0	0	0	0	0	0	トワイライト滝の隠されたアジト
50	50	50	50	50	50	ヴァンパイア・キングダム　ブラン城　城下町
50	50	50	50	50	50	ヴァンパイア・キングダム　ブラン城　城下町
20	90	40	40	30	40	ヴァンパイア・キングダム　ブラン城　城内
0	0	0	0	0	0	地下界戦略家セイジの部屋入口
0	0	0	0	0	0	地下界戦略家セイジの部屋
0	100	0	0	0	0	凍りついた城
0	0	0	0	0	0	枯れ井戸の隠された迷宮
0	0	0	0	0	0	狼巣窟の隠された通路 B1
0	0	0	0	0	0	古代王の墓
0	0	0	0	0	0	マーズ・ルガスの秘密基地
0	0	0	0	0	0	狼巣窟の隠された通路 B2
0	0	0	0	0	0	アルパス地下監獄の隠された地下牢
0	0	0	0	0	0	アークデビル軍団の駐屯地
0	0	0	0	0	0	東バヘル急流カルスト洞窟のリザード洞窟
0	0	0	0	0	0	ビックマウスダンジョンのラットキング区域
0	0	0	0	0	0	蟲巣窟の隠された洞窟
0	0	0	0	0	0	蟲巣窟の隠された洞窟
0	0	0	0	0	0	地下水路の腐った死体場
0	0	0	0	0	0	河口ダンジョン'ラ'の隠された洞窟
0	0	0	0	0	0	血塗られたオーガの洞窟
0	0	0	0	0	0	ヘソパルの洞窟
0	0	0	0	0	0	聖なる懺悔の部屋　１Ｆ
0	0	0	0	0	0	聖なる懺悔の部屋　２Ｆ
0	0	0	0	0	0	聖なる懺悔の部屋　３Ｆ
0	0	0	0	0	0	呪いの墓に建つ呪われし塔
0	0	0	0	0	0	ロシペルの隠れ家
0	0	0	0	0	0	小さい傭兵墓に巣食う亡者共の宝物庫
0	0	0	0	0	0	名も無き遺跡のデーモンキングのねぐら
0	0	0	0	0	0	龍の墓
0	0	0	0	0	0	ドラコリッチの納骨堂
0	0	0	0	0	0	麻薬巣窟の隠された研究所
50	50	50	50	50	50	カダーム・ギガスの寺院
50	50	50	50	50	50	カダーム・ギガスの寺院
0	0	0	0	0	0	過ぎし栄光の展示場にある遺物保管所
10	10	10	10	10	10	ギルドポイント戦 / スモーキー諸島　地上戦
20	20	20	20	20	20	ギルドポイント戦 / スモーキー諸島　密林地帯
30	30	30	30	30	30	ギルドポイント戦 / スモーキー諸島　山岳要塞
40	40	40	40	40	40	ギルドポイント戦 / スモーキー諸島　地下道
0	0	0	0	0	0	ギルドポイント戦 / スモーキー諸島　悪魔の隠れ家
0	0	0	0	0	0	河口ダンジョンの隠された宝物部屋
0	0	0	0	0	0	ハノブ高台望楼の隠されたアジト
0	0	0	0	0	0	ハノブ南側望楼の地下洞窟
0	0	0	0	0	0	ハイランド洞窟の堕落した部族
0	0	0	0	0	0	鉄鉱山の隠された崩壊地域
0	0	0	0	0	0	コボルト洞窟の隠されたアジト
0	0	0	0	0	0	魔法傭兵墓の呪われた亡者の安息所
0	0	0	0	0	0	傭兵達の大きな墓の不思議な妖怪部屋
0	0	0	0	0	0	タトバ鉱山の崩れた炭鉱
0	0	0	0	0	0	呪いを受けたミズナ洞窟の隠された洞窟
0	0	0	0	0	0	モリネルタワーの隠された研究所
0	0	0	0	0	0	ダークエルフ王宮の隠された倉庫
0	0	0	0	0	0	スパインホールのミステリーゾーン
0	0	0	0	0	0	ミスリル鉱山の隠された鉄鉱
0	0	0	0	0	0	イフリィトの棲み処
0	0	0	0	0	0	キングクラブの巣
0	0	0	0	5	0	オーガ巣窟の隠された監獄
0	0	0	0	0	0	警備兵墓の封印された魂の迷宮
0	0	0	0	0	0	ギルディル川　沼地洞窟の隠された孵化場
0	0	0	0	0	0	フォーリン望楼の隠された地下監獄
0	0	0	0	0	0	女王の墓
0	0	0	0	0	0	旧レッドアイ研究所の隠された通路
0	0	0	0	0	0	路上強盗団アジトの隠された隠れ家
0	0	0	0	0	0	廃坑の隠された金鉱
0	0	0	0	0	0	ソルティケーブの混沌の空間
0	0	0	0	0	0	ダークソウルの封印場所
0	0	0	0	0	0	スマグ地下道の隠された地下迷宮
50	50	50	50	50	50	閉鎖された時空研究所
50	50	50	50	50	50	レッドアイの隠されたアジト
0	0	0	0	0	0	レッドアイ特殊エージェントのアジト
0	0	0	0	0	0	古代都市タティリス遺跡　入口
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ１
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ２
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
0	0	0	0	0	0	古代都市タティリス遺跡　Ｂ３
